# 1行につき1つの注文です。
# 書き方: 注文名 | 材料 分量,材料 分量,材料 分量 | 上の色,下の色 | グラス | 提供方法
# グラス: タンブラー, ロックグラス, カクテルグラス, ワイングラス, ホットグラス
# 提供方法: シェイク, ステア
# PDF「カクテルレシピ202605.pdf」から、材料と分量が読み取れるものを転記しています。
# 行頭に # を付けると、その行は使われません。

サイドカー | ブランディ 30ml,コアントロ 15ml,レモンジュース 15ml | #f4c27a,#bd6f3c | カクテルグラス | シェイク
オーガニズム | ベーリーズ 15ml,カルアミルク 15ml,アマレット 10ml,生クリーム 10ml | #d5b28c,#7c5139 | ロックグラス | シェイク
アイリッシュコーヒー | ベイリーズ 30ml,ジェムソン 20ml,アイスコーヒー 適量,生クリーム 上にホイップ | #c7a37f,#4e382d | ホットグラス | ステア
アレキサンダー | ブランディ 30ml,モーツアルト 15ml,生クリーム 15ml | #d9bb92,#8f6040 | カクテルグラス | シェイク
エメラルドクーラー | ジン 30ml,レモンジュース 15ml,ミントリキュール 15ml,シロップ 少量,炭酸 適量,チェリー 1個 | #bde9c6,#43a676 | タンブラー | ステア
アラウンド・ザ・ワールド | ジン 30ml,パイナップルジュース 20ml,ミントリキュール 10ml,ミントチェリー 1個 | #c6e996,#55a65c | カクテルグラス | シェイク
スカーレットオハラ | サザンカンフォート 30ml,クランベリージュース 20ml,レモンジュース 10ml | #f099a6,#b93d56 | カクテルグラス | シェイク
ジャック・ター | サザンカンフォート 15ml,ラム 30ml,ライムジュース 15ml,クラッシュド・アイス 適量 | #d69c5e,#8a4b2e | ロックグラス | ステア
サザンカンフォートトニック | サザンカンフォート 30ml,トニック 適量 | #f0d48e,#c68943 | タンブラー | ステア
パッソアモーニ | パッソア 30ml,グレープフルーツジュース 残り半々,トニック 残り半々 | #f6b178,#d95a49 | タンブラー | ステア
オーガスタセブン | パッソア 45ml,レモンジュース 15ml,パイナップルジュース 適量 | #ffd077,#e07545 | タンブラー | ステア
パッソアオレンジ | パッソア 30ml,オレンジジュース 適量 | #ffba68,#db6540 | タンブラー | ステア
スプモーニ | カンパリ 30ml,グレープフルーツジュース 残り半々,トニック 残り半々 | #f2a37d,#c7474a | タンブラー | ステア
アメリカーノ | カンパリ 30ml,スイートベルモット 30ml,炭酸 適量 | #d98a6b,#9b3436 | タンブラー | ステア
ネグローニ | ジン 20ml,カンパリ 20ml,スイートベルモット 20ml | #c96f59,#7d2f33 | ロックグラス | ステア
ゴットファーザー | フォアローゼス 30ml,アマレット 10ml | #c28b5c,#633a25 | ロックグラス | ステア
ゴットマザー | ウォッカ 30ml,アマレット 10ml | #d5bd93,#84603d | ロックグラス | ステア
フレンチコネクション | ブランディ 30ml,アマレット 10ml | #d4a16e,#7a4b2d | ロックグラス | ステア
アマレットジンジャー | アマレット 30ml,ジンジャーエール 適量,ウーロン茶 10ml | #d9a35d,#80512f | タンブラー | ステア
イタリアンアイスティ | アマレット 30ml,烏龍茶 適量 | #c18b58,#51372a | タンブラー | ステア
マリブコーク | マリブ 30ml,ラム 10ml,コーラー 適量 | #9d6a48,#2d1e1a | タンブラー | ステア
イタリアン・サーファー | マリブ 15ml,アマレット 15ml,パイナップルジュース 適量,ウーロン茶 10ml | #f5ca79,#cf8743 | タンブラー | ステア
マリブ・ピニャコラーダ | マリブ 40ml,パイナップルジュース 残り半々,ミルク 残り半々,ウーロン茶 10ml | #f2dfb3,#c88c50 | タンブラー | ステア
ダージリンクーラー | ティーリキュール 25ml,シャンボール 10ml,レモンジュース 10ml,ジンジャーエール 適量,レモン 1片 | #df9b74,#9b4762 | タンブラー | ステア
ティフィンジンジャー | ティーリキュール 30ml,ジンジャーエール 適量 | #dfb46e,#8b5b34 | タンブラー | ステア
ピーチウーロン | ピーチリキュール 30ml,烏龍茶 適量 | #e9ad87,#774a31 | タンブラー | ステア
ファジーネーブル | ピーチリキュール 30ml,オレンジジュース 適量 | #f5b371,#dc7040 | タンブラー | ステア
セックス・オン・ザ・ビーチ | ピーチリキュール 15ml,ウォッカ 30ml,クランベリージュース 残り半々,オレンジジュース 残り半々,チェリー 1個 | #f08b8f,#d64d50 | タンブラー | ステア
ブラッディシーザー | ウォッカ 30ml,クラマト 適量,レモンジュース 10ml,タバスコ 3振り,ウスターソース 少量,胡椒 振りかけ | #cc645a,#7b2e2c | タンブラー | ステア
クラマト・ミチェラーダ | ビール 残り半々,クラマト 残り半々,ライムジュース 10ml,タバスコ 3振り | #d47d56,#893c2e | タンブラー | ステア
ヨコハマ | ジン 20ml,ウォッカ 10ml,オレンジジュース 20ml,グレナデンシロップ 10ml,ペルノ 1dash | #f6b17a,#d04f58 | カクテルグラス | シェイク
ニューヨーク | カナディアンクラブ 40ml,ライムジュース 15ml,グレナデンシロップ 少量 | #d38b5a,#a4363b | カクテルグラス | シェイク
マンハッタン | カナディアンクラブ 40ml,スイートベルモット 20ml,アンゴスラビターズ 1dash,チェリー 1個 | #b36f4e,#5a3027 | カクテルグラス | ステア
マティーニ | タンカレー 50ml,ドライベルモット 10ml,レモンピル 1片,オリーブ 1個 | #e8e6c8,#b3b079 | カクテルグラス | ステア
スカイダイビング | ラム 30ml,ブルーキュラソー 20ml,ライムジュース 10ml | #82d5e8,#1b7fc4 | カクテルグラス | シェイク
青い珊瑚礁 | ジン 30ml,ブルーキュラソー 15ml,レモンジュース 15ml,チェリー 1個 | #8fd7e8,#217eb8 | カクテルグラス | シェイク
エクスプレッソマティーニ | ウォッカ 30ml,コーヒーリキュール 15ml,エスプレッソ 15ml | #8b5b42,#2f211d | カクテルグラス | シェイク
レッドワインクーラー | 赤ワイン 90ml,オレンジジュース 30ml,グレナデンシロップ 10ml,コアントロ 10ml | #c65d5a,#7d2d36 | ワイングラス | ステア
パッソアサングリア | 赤ワイン 30ml,パッソア 45ml,オレンジジュース 70ml,卵白 1個,シナモン 振りかけ | #dc7560,#8b3240 | タンブラー | シェイク
赤玉パンチ | 赤玉スイートワイン 90ml,炭酸 残り半々,トニック 残り半々 | #d96d60,#99444a | タンブラー | ステア
オペレーター | 白ワイン 90ml,レモンジュース 10ml,ジンジャーエール 60ml | #efe1a6,#c5a45b | ワイングラス | ステア
青の洞窟 | レモンリキュール 30ml,ブルーキュラソー 10ml,グレープフルーツジュース 適量,レモン 1片 | #aedee7,#277eb2 | タンブラー | ステア
ウイスキーマック | ストーンズ 10ml,ディーコン 25ml | #c8905d,#68412d | ロックグラス | ステア
エル・ディアブロ | テキーラ 30ml,カシスリキュール 15ml,ジンジャーエール 適量,レモン 1片 | #d8637a,#7d2c43 | タンブラー | ステア
オールドファッションド | エヴァン・ウィリアムス 30ml,アンゴスチュラビターズ 2dash,ドライオレンジ 1片,角砂糖 1個,チェリー 1個 | #c18455,#5b3322 | ロックグラス | ステア
シーブリーズ | ウォッカ 30ml,グレープフルーツジュース 残り半々,クランベリージュース 残り半々 | #f29f95,#c9435c | タンブラー | ステア
シンガポールスリング | ジン 30ml,チェリーリキュール 15ml,レモンジュース 20ml,炭酸 適量 | #f0918e,#c74350 | タンブラー | ステア
ジンフィズ | タンカレー 45ml,レモンジュース 10ml,シロップ 少量,炭酸 適量,レモン 1片 | #f4e6a5,#c9b85a | タンブラー | ステア
チェリーブロッサム | チェリーリキュール 30ml,ブランディ 30ml,コアントロ 少量,レモンジュース 少量 | #df8ca1,#9f3c55 | カクテルグラス | シェイク
テキーラサンライズ | テキーラ 30ml,グレナデンシロップ 10ml,オレンジジュース 適量 | #f7b164,#d74c45 | タンブラー | ステア
ブラックルシアン | ウォッカ 40ml,コーヒーリキュール 20ml | #6a4433,#1e1715 | ロックグラス | ステア
ブルーハワイ | ラム 30ml,ブルーキュラソー 15ml,パイナップルジュース 30ml,レモンジュース 15ml,クラッシュアイス 適量,チェリー 1個 | #8cd7e8,#1c83c5 | ワイングラス | ステア
ペルノトニック | ペルノ 25ml,トニック 適量,ライム 1片 | #efe0a0,#b6a04c | タンブラー | ステア
ホワイトルシアン | ウォッカ 40ml,コーヒーリキュール 20ml,生クリーム 上にホイップ | #d7c0a6,#5a382c | ロックグラス | ステア
ライチ＆ブランディトニック | ライチリキュール 30ml,ブランディ 10ml,トニック 適量,レモン 1片 | #e9d8c9,#b7865c | タンブラー | ステア
レイドバック | ジン 20ml,ウォッカ 20ml,パイナップルジュース 残り半々,炭酸 残り半々 | #efd17f,#bf9d4d | タンブラー | ステア
ロングアイランドアイスティ | ラム 10ml,ウォッカ 10ml,ジン 10ml,テキーラ 10ml,コアントロ 10ml,レモンジュース 20ml,コーラー 適量 | #c8955a,#51372a | タンブラー | ステア
照葉樹林 | 抹茶リキュール 30ml,烏龍茶 適量,抹茶パウダー 振りかけ | #9abd6d,#45673e | タンブラー | ステア
生ミントのレモンサワー | ウォッカ 30ml,コアントロ 10ml,炭酸 残り半々,トニック 残り半々,レモン 1/4個,ミントの葉 5g | #d9ed9a,#68a95d | タンブラー | ステア
マタドール | テキーラ 30ml,パイナップルジュース 適量,ライムジュース 15ml | #f4c46d,#d2873d | ロックグラス | ステア
アリゾナサンセット | オレンジジュース 残り半々,グレナデンシロップ 10ml,炭酸 残り半々 | #f6aa5c,#d64d43 | タンブラー | ステア
バージンブリーズ | グレープフルーツジュース 残り半々,クランベリージュース 残り半々 | #f2a192,#c94a61 | タンブラー | ステア
サラトガクーラー | ライムジュース 20ml,ジンジャーエール 適量,ライム 1片 | #e6e99d,#94a95b | タンブラー | ステア
シンデレラ | オレンジジュース 20ml,パイナップルジュース 20ml,レモンジュース 20ml | #f8ca6d,#e08d45 | カクテルグラス | シェイク
バージン・シーザー | クラマト 適量,レモンジュース 10ml,タバスコ 3振り,ウスターソース 少量,胡椒 振りかけ | #cd6255,#7a2f2a | タンブラー | ステア
ブルームーン | タンカレー 25ml,バイオレットリキュール 25ml,レモンジュース 10ml | #cd6255,#7a2f2a | カクテルグラス | シェイク
